Date,Now,Open,High,Low,Volueme,Rate
2015-09-09,36.000,35.800,36.500,35.650,302,3.60
2015-09-08,34.750,35.000,35.100,34.600,148,0.00
2015-09-07,34.750,34.800,35.100,34.300,162,-0.29
2015-09-06,34.850,34.850,34.850,34.850,063,0.00
2015-09-04,34.850,35.500,35.950,34.650,243,-1.55
2015-09-03,35.400,34.850,35.700,34.700,421,3.06
2015-09-02,34.350,33.500,34.600,33.350,414,-0.15
2015-09-01,34.400,35.150,35.450,34.200,642,-3.91
2015-08-31,35.800,36.850,36.850,35.650,440,-2.98
2015-08-30,36.900,36.900,36.900,36.900,421,0.00
2015-08-28,36.900,36.550,37.700,36.300,732,3.94
2015-08-27,35.500,34.200,35.500,34.150,696,6.13
2015-08-26,33.450,33.500,34.200,32.850,650,-0.15
2015-08-25,33.500,31.300,33.950,31.300,1152,7.89
2015-08-24,31.050,31.600,32.350,30.300,843,-2.97
2015-08-23,32.000,32.000,32.000,32.000,427,0.00
2015-08-21,32.000,31.400,32.250,31.400,607,-3.18
2015-08-20,33.050,33.050,33.550,32.850,455,0.15
2015-08-19,33.000,34.500,34.800,32.650,877,-5.85
2015-08-18,35.050,35.800,36.400,34.700,470,-1.68
2015-08-17,35.650,37.300,37.400,35.650,380,-3.39
2015-08-16,36.900,36.900,36.900,36.900,211,0.00
2015-08-13,36.900,35.900,36.900,35.850,274,3.07
2015-08-12,35.800,35.600,36.400,35.400,277,-0.83
2015-08-11,36.100,36.300,37.200,36.100,288,-0.55
2015-08-10,36.300,36.200,36.400,35.750,132,0.28
2015-08-09,36.200,36.200,36.200,36.200,215,0.00
2015-08-07,36.200,35.650,36.450,35.050,336,0.28
2015-08-06,36.100,37.750,37.750,36.050,380,-3.22
2015-08-05,37.300,37.850,38.300,37.000,332,0.13
2015-08-04,37.250,35.450,37.950,35.450,404,3.62
2015-08-03,35.950,36.500,37.100,35.500,547,-3.10
2015-08-02,37.100,37.100,37.100,37.100,132,0.00
2015-07-31,37.100,34.800,37.100,34.750,704,7.54
2015-07-30,34.500,36.550,36.800,34.050,931,-6.76
2015-07-29,37.000,37.450,37.600,36.800,303,-0.27
2015-07-28,37.100,36.500,37.650,36.500,363,-0.40
2015-07-27,37.250,38.500,38.850,36.850,410,-3.37
2015-07-26,38.550,38.550,38.550,38.550,294,0.00
2015-07-24,38.550,39.250,39.450,38.500,322,-1.15
2015-07-23,39.000,40.000,40.300,38.600,820,2.09
2015-07-22,38.200,39.000,39.000,37.750,392,-2.18
2015-07-21,39.050,38.950,39.350,38.500,253,1.03
2015-07-20,38.650,40.150,40.350,38.650,252,-3.25
2015-07-19,39.950,39.950,39.950,39.950,000,0.00
2015-07-17,39.950,39.500,40.500,38.700,332,1.27
2015-07-16,39.450,39.000,39.500,38.650,237,0.38
2015-07-15,39.300,38.400,39.400,38.350,806,3.83
2015-07-14,37.850,40.600,40.650,37.800,1511,-6.66
2015-07-13,40.550,41.450,41.850,40.500,369,-0.73
2015-07-12,40.850,40.850,40.850,40.850,313,0.00
2015-07-10,40.850,41.250,41.300,40.350,273,-0.24
2015-07-09,40.950,40.400,41.050,39.600,301,0.12
2015-07-08,40.900,41.100,41.300,40.750,332,-1.09
2015-07-07,41.350,41.200,41.850,41.000,317,1.47
2015-07-06,40.750,42.000,42.050,40.350,452,-4.45
2015-07-05,42.650,42.650,42.650,42.650,083,0.00
2015-07-03,42.650,42.700,43.100,42.200,287,1.31
2015-07-02,42.100,43.000,43.000,42.000,257,-1.64
2015-07-01,42.800,42.800,43.200,42.250,212,1.18
2015-06-30,42.300,42.650,42.800,41.950,258,-0.70
2015-06-29,42.600,41.000,43.050,40.600,489,1.43
2015-06-28,42.000,42.000,42.000,42.000,048,0.00
2015-06-26,42.000,41.550,42.250,41.550,788,-2.55
2015-06-25,43.100,43.100,43.400,42.800,323,-0.58
2015-06-24,43.350,44.250,44.250,43.150,268,-1.81
2015-06-23,44.150,44.350,44.600,44.000,267,0.68
2015-06-22,43.850,43.800,44.150,43.550,255,0.69
2015-06-21,43.550,43.550,43.550,43.550,025,0.00
2015-06-19,43.550,44.350,44.550,43.500,365,-1.69
2015-06-18,44.300,44.900,44.950,44.300,222,-1.45
